iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
238,0.2,64,100,1,False,0.4,tanh,uniform,,0.5990288780986454,0.7438968643372051,86.5860583782196,13
239,0.2,64,100,1,False,0.4,tanh,normal,,0.6003066700741118,0.7440909182082482,74.98991060256958,13
240,0.2,64,100,2,False,0,tanh,uniform,,0.6040122668029644,0.7479107715947391,157.43111157417297,13
241,0.2,64,100,2,False,0,tanh,normal,,0.5932788142090466,0.7390957128061368,131.1069872379303,13
242,0.2,64,100,2,False,0.2,tanh,uniform,,0.5973677485305391,0.741653999250372,158.9722397327423,13
243,0.2,64,100,2,False,0.2,tanh,normal,,0.5968566317403524,0.7421204531711584,130.19763898849487,13
244,0.2,64,100,2,False,0.4,tanh,uniform,,0.5957066189624328,0.7422572211650694,150.42110347747803,13
245,0.2,64,100,2,False,0.4,tanh,normal,,0.5990288780986454,0.744994679784881,129.60870909690857,13
246,0.2,64,100,3,False,0,tanh,uniform,,0.6040122668029644,0.7479107715947391,216.45355796813965,13
247,0.2,64,100,3,False,0,tanh,normal,,0.6040122668029644,0.7479107715947391,185.92715072631836,13
248,0.2,64,100,3,False,0.2,tanh,uniform,,0.6010733452593915,0.7455359936746111,227.3395311832428,13
249,0.2,64,100,3,False,0.2,tanh,normal,,0.5990288780986454,0.744994679784881,190.061527967453,13
250,0.2,64,100,3,False,0.4,tanh,uniform,,0.602351137234858,0.7465862254940736,216.72639226913452,13
251,0.2,64,100,3,False,0.4,tanh,normal,,0.5990288780986454,0.744994679784881,190.1905734539032,13
252,0.2,64,100,1,False,0,sigmoid,uniform,,0.5989010989010988,0.7429299921684519,91.57765674591064,13
253,0.2,64,100,1,False,0,sigmoid,normal,,0.5985177613084589,0.7427367114498006,75.85655450820923,13
254,0.2,64,100,1,False,0.2,sigmoid,uniform,,0.6040122668029644,0.7474187263265745,91.9706974029541,13
255,0.2,64,100,1,False,0.2,sigmoid,normal,,0.6036289292103244,0.7472266107498436,75.21836638450623,13
256,0.2,64,100,1,False,0.4,sigmoid,uniform,,0.602351137234858,0.7470955201210153,87.89413499832153,13
257,0.2,64,100,1,False,0.4,sigmoid,normal,,0.602351137234858,0.7470955201210153,75.92514395713806,13
