iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
190,0.2,128,50,1,0,tanh,uniform,,0.7526889040163376,0.8021545002823227,173.2163050174713,13
191,0.2,128,50,1,0,tanh,normal,,0.761188369152971,0.8233245330207817,173.15228581428528,13
192,0.2,128,50,1,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,197.0146951675415,13
193,0.2,128,50,1,0.2,tanh,uniform,,0.7440435670524165,0.8135732289768427,181.5790891647339,13
194,0.2,128,50,1,0.2,tanh,normal,,0.744403384226393,0.7863130585100447,180.07027435302734,13
195,0.2,128,50,1,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,194.2652313709259,13
196,0.2,128,50,1,0.4,tanh,uniform,,0.7326461149469999,0.6334400229613876,178.3267776966095,13
197,0.2,128,50,1,0.4,tanh,normal,,0.7427987941262278,0.7616490516832147,182.5628683567047,13
198,0.2,128,50,2,0,tanh,zero,,0.6033550520276184,0.7496210765144661,209.69999432563782,13
199,0.2,128,50,2,0,tanh,uniform,,0.7506175240688514,0.8343035600513641,186.02540469169617,13
200,0.2,128,50,2,0,tanh,normal,,0.7512204609549743,0.8332158634982886,192.4060618877411,13
201,0.2,128,50,2,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,221.10475301742554,13
202,0.2,128,50,2,0.2,tanh,uniform,,0.7414373237382087,0.8249602242903933,210.98971009254456,13
203,0.2,128,50,2,0.2,tanh,normal,,0.7442769619760768,0.8279890038147971,218.21059370040894,13
204,0.2,128,50,2,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,217.1715943813324,13
205,0.2,128,50,2,0.4,tanh,uniform,,0.7456092579986385,0.8302758259969247,215.73361563682556,13
206,0.2,128,50,2,0.4,tanh,normal,,0.7405231936205388,0.7990505854428793,216.7526035308838,13
207,0.2,128,50,3,0,tanh,zero,,0.6033550520276184,0.7496210765144661,225.10701990127563,13
208,0.2,128,50,3,0,tanh,uniform,,0.7446756783039968,0.8309807656563234,215.2006175518036,13
209,0.2,128,50,3,0,tanh,normal,,0.7458718272877565,0.8318393866845651,220.08252453804016,13
210,0.2,128,50,3,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,261.83568596839905,13
211,0.2,128,50,3,0.2,tanh,uniform,,0.7412720023339492,0.821895577673971,249.4060399532318,13
212,0.2,128,50,3,0.2,tanh,normal,,0.7430905377808031,0.8276743734402476,243.05312633514404,13
213,0.2,128,50,3,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,246.42408347129822,13
214,0.2,128,50,3,0.4,tanh,uniform,,0.7412039288145483,0.8190539358674375,246.91108560562134,13
215,0.2,128,50,3,0.4,tanh,normal,,0.7448993484391713,0.8274033481127151,251.63002061843872,13
216,0.2,128,50,1,0,sigmoid,zero,,0.7391617232325196,0.6164862632908105,205.87993240356445,13
217,0.2,128,50,1,0,sigmoid,uniform,,0.7576290965671496,0.8407119770677917,198.36349391937256,13
