iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
86,0.2,64,50,1,0.2,selu,normal,,0.5837207040746865,0.03189790171611749,321.5843231678009,13
87,0.2,64,50,1,0.4,selu,zero,,0.6117507860870692,0.23566009611647457,319.12434935569763,13
88,0.2,64,50,1,0.4,selu,uniform,,0.5853155693863659,0.04433593556683219,314.4004008769989,13
89,0.2,64,50,1,0.4,selu,normal,,0.6000842815002108,0.08704880809586676,308.14097118377686,13
90,0.2,64,50,2,0,selu,zero,,0.6117507860870692,0.23566009611647457,341.7545838356018,13
91,0.2,64,50,2,0,selu,uniform,,0.5808648578560084,0.004589630146769697,345.42701745033264,13
92,0.2,64,50,2,0,selu,normal,,0.5808065091250932,0.004519408339173735,346.4285249710083,13
93,0.2,64,50,2,0.2,selu,zero,,0.6117507860870692,0.23566009611647457,378.1780250072479,13
94,0.2,64,50,2,0.2,selu,uniform,,0.5803332360854485,0.0,414.4587821960449,13
95,0.2,64,50,2,0.2,selu,normal,,0.5803332360854485,0.0,428.8599281311035,13
96,0.2,64,50,2,0.4,selu,zero,,0.6117507860870692,0.23566009611647457,413.0011534690857,13
97,0.2,64,50,2,0.4,selu,uniform,,0.5803332360854485,0.0,404.24214601516724,13
98,0.2,64,50,2,0.4,selu,normal,,0.5803332360854485,0.0,414.8998312950134,13
99,0.2,64,50,3,0,selu,zero,,0.6117507860870692,0.23566009611647457,417.2036643028259,13
100,0.2,64,50,3,0,selu,uniform,,0.5803332360854485,0.0,438.10901641845703,13
101,0.2,64,50,3,0,selu,normal,,0.5803332360854485,0.0,420.9052243232727,13
102,0.2,64,50,3,0.2,selu,zero,,0.6117507860870692,0.23566009611647457,460.0078616142273,13
103,0.2,64,50,3,0.2,selu,uniform,,0.5803332360854485,0.0,482.22476625442505,13
104,0.2,64,50,3,0.2,selu,normal,,0.5803332360854485,0.0,454.76736664772034,13
105,0.2,64,50,3,0.4,selu,zero,,0.6117507860870692,0.23566009611647457,474.2645115852356,13
106,0.2,64,50,3,0.4,selu,uniform,,0.5803332360854485,0.0,475.2799553871155,13
107,0.2,64,50,3,0.4,selu,normal,,0.5803332360854485,0.0,396.24342107772827,13
