iteration,lag,test_split,K,rmse,init,random_run,accuracy,f_score,time_train
277,13,0.3,17,,k-means++,4,0.6068376068376069,0.3762132604237868,0.5469307899475098
278,13,0.3,18,,k-means++,4,0.6068376068376069,0.3762132604237868,0.4219200611114502
279,13,0.3,19,,k-means++,4,0.6068376068376069,0.3762132604237868,0.3400552272796631
280,13,0.3,2,,random,0,0.6068376068376069,0.3762132604237868,0.30169129371643066
281,13,0.3,3,,random,0,0.6068376068376069,0.3762132604237868,0.281280517578125
282,13,0.3,4,,random,0,0.6068376068376069,0.3762132604237868,0.23440027236938477
283,13,0.3,5,,random,0,0.6068376068376069,0.3762132604237868,0.25002551078796387
284,13,0.3,6,,random,0,0.6068376068376069,0.3762132604237868,0.2656524181365967
285,13,0.3,7,,random,0,0.6068376068376069,0.3762132604237868,0.312532901763916
286,13,0.3,8,,random,0,0.6068376068376069,0.3762132604237868,0.2500267028808594
287,13,0.3,9,,random,0,0.6068376068376069,0.3762132604237868,0.2500283718109131
288,13,0.3,10,,random,0,0.6068376068376069,0.3762132604237868,0.33504438400268555
289,13,0.3,11,,random,0,0.6068376068376069,0.3762132604237868,0.4649534225463867
290,13,0.3,12,,random,0,0.6068376068376069,0.3762132604237868,0.3125324249267578
291,13,0.3,13,,random,0,0.6068376068376069,0.3762132604237868,0.2969074249267578
292,13,0.3,14,,random,0,0.6068376068376069,0.3762132604237868,0.27906084060668945
293,13,0.3,15,,random,0,0.6068376068376069,0.3762132604237868,0.27571964263916016
294,13,0.3,16,,random,0,0.6068376068376069,0.3762132604237868,0.17188262939453125
295,13,0.3,17,,random,0,0.6068376068376069,0.3762132604237868,0.09376072883605957
296,13,0.3,18,,random,0,0.6068376068376069,0.3762132604237868,0.09375953674316406
297,13,0.3,19,,random,0,0.6068376068376069,0.3762132604237868,0.06250762939453125
298,13,0.3,2,,random,1,0.6068376068376069,0.3762132604237868,0.2656536102294922
299,13,0.3,3,,random,1,0.6068376068376069,0.3762132604237868,0.2969062328338623
300,13,0.3,4,,random,1,0.6068376068376069,0.3762132604237868,0.2969059944152832
301,13,0.3,5,,random,1,0.6068376068376069,0.3762132604237868,0.2656528949737549
302,13,0.3,6,,random,1,0.6068376068376069,0.3762132604237868,0.2500271797180176
303,13,0.3,7,,random,1,0.6068376068376069,0.3762132604237868,0.2812793254852295
304,13,0.3,8,,random,1,0.6068376068376069,0.3762132604237868,0.3281590938568115
305,13,0.3,9,,random,1,0.6068376068376069,0.3762132604237868,0.2656533718109131
306,13,0.3,10,,random,1,0.6068376068376069,0.3762132604237868,0.25002622604370117
307,13,0.3,11,,random,1,0.6068376068376069,0.3762132604237868,0.23560810089111328
308,13,0.3,12,,random,1,0.6068376068376069,0.3762132604237868,0.3238406181335449
309,13,0.3,13,,random,1,0.6068376068376069,0.3762132604237868,0.2500271797180176
310,13,0.3,14,,random,1,0.6068376068376069,0.3762132604237868,0.25002598762512207
311,13,0.3,15,,random,1,0.6068376068376069,0.3762132604237868,0.21877622604370117
312,13,0.3,16,,random,1,0.6068376068376069,0.3762132604237868,0.1718893051147461
313,13,0.3,17,,random,1,0.6068376068376069,0.3762132604237868,0.10938644409179688
314,13,0.3,18,,random,1,0.6068376068376069,0.3762132604237868,0.09375977516174316
315,13,0.3,19,,random,1,0.6068376068376069,0.3762132604237868,0.07813286781311035
316,13,0.3,2,,random,2,0.6068376068376069,0.3762132604237868,0.25002622604370117
